date,HR_lying,rMSSD_lying,HRV4T_Recovery_Points,training,physical_condition,trainingRPE, trainingTSS, sleep_quality,sleep_time,muscle_soreness,fatigue,traveling,sickness,alcohol, current_lifestyle
2019-03-14,53.66,44.07,7.56,easy,5.7,3.0,40,6.7,6.0,2.6,6.5,not traveling,not sick,nothing,5.0
2019-03-17,58.91,27.38,6.85,intense,5.0,10.0,34,5.0,9.0,5.0,5.0,not traveling,not sick,a little,5.0
2019-03-18,52.88,26.64,6.81,easy,5.9,2.0,40,6.1,6.0,3.1,3.5,not traveling,not sick,nothing,5.0
2019-03-19,58.45,135.47,9.45,easy,6.1,2.4,19,6.5,8.0,6.5,5.0,not traveling,not sick,a little,5.0
2019-03-20,56.88,30.74,7.02,rest,5.8,,,6.7,8.0,5.0,5.0,not traveling,not sick,a little,5.0
2019-03-21,53.19,30.26,6.99,average,5.5,5.0,61,4.3,8.0,6.0,6.6,not traveling,not sick,nothing,5.0
2019-03-22,54.67,32.70,7.11,intense,6.0,9.0,98,6.4,8.0,3.1,3.1,not traveling,not sick,nothing,5.0
2019-03-23,54.96,23.98,6.67,average,5.9,6.1,62,5.7,8.0,3.5,5.0,not traveling,not sick,a little,5.0
2019-03-24,55.05,40.14,7.42,rest,6.1,,,6.5,7.3,3.6,3.4,not traveling,not sick,a little,5.0
2019-03-25,57.38,28.19,6.89,easy,6.0,2.4,40,4.7,7.0,5.9,6.4,not traveling,not sick,a little,5.0
2019-03-26,54.61,34.88,7.20,average,6.0,6.0,69,5.0,8.0,3.2,3.3,not traveling,not sick,a little,5.0
2019-03-27,58.04,26.32,6.79,rest,6.0,,,8.4,8.0,3.7,2.0,not traveling,not sick,nothing,5.0
2019-03-29,57.09,39.46,7.39,average,5.6,3.0,,7.9,8.0,4.2,5.9,not traveling,not sick,nothing,5.0
2019-03-30,57.50,38.36,7.35,average,5.0,5.0,66,5.0,8.0,5.0,5.0,not traveling,not sick,a little,5.0
2019-03-31,53.46,31.52,7.05,rest,6.2,,,8.3,8.0,2.4,2.0,not traveling,not sick,nothing,5.0
2019-04-01,53.15,35.03,7.21,rest,5.7,,,6.9,8.0,3.7,3.2,not traveling,not sick,nothing,5.0
2019-06-18,,,,average,,4.5,,,0.0,,,not traveling,not sick,nothing, -
2019-06-19,46.90,13.81,5.98,average,6.4,3.0,,3.0,8.0,5.0,6.2,not traveling,not sick,nothing,5.0
2019-06-20,48.00,27.45,6.86,rest,5.0,,,5.0,7.8,5.0,5.0,not traveling,not sick,nothing,5.0
2019-06-21,49.00,22.27,6.57,average,6.3,7.2,80,2.8,6.9,5.0,7.1,not traveling,not sick,nothing,2.8
2019-06-22,50.28,31.91,7.07,intense,5.0,6.4,86,6.5,8.0,3.6,5.0,not traveling,not sick,a little,5.0
2019-06-23,51.00,54.89,7.91,rest,5.0,,,5.0,7.8,2.9,5.0,not traveling,not sick,nothing,5.0
2019-06-24,49.15,13.64,5.97,easy,6.5,3.0,44,5.0,8.0,3.5,6.8,not traveling,not sick,nothing,5.0
2019-06-25,45.00,12.20,5.85,average,5.0,3.0,,8.7,8.0,5.0,5.0,not traveling,not sick,nothing,5.0
2019-06-26,53.71,74.71,8.42,intense,5.0,7.0,79,5.0,8.0,5.0,5.0,not traveling,not sick,nothing,5.0
2019-06-27,51.00,19.95,6.43,rest,5.0,,,7.2,8.0,3.5,5.9,not traveling,not sick,nothing,5.0
2019-06-28,51.00,28.03,6.89,intense,5.0,7.3,104,7.1,8.0,2.7,5.8,not traveling,not sick,nothing,5.0
2019-06-29,52.00,40.23,7.42,rest,5.0,,,5.0,8.0,5.0,5.0,not traveling,not sick,nothing,5.0
2019-06-30,49.00,12.38,5.86,average,5.0,7.0,80,5.0,6.9,5.0,5.0,traveling,not sick,nothing,5.0
2019-07-01,50.36,36.49,7.27,rest,5.0,,,5.0,8.0,5.0,2.8,traveling,not sick,nothing,5.0
2019-07-02,50.00,39.27,7.39,rest,5.0,,,5.0,8.4,3.5,3.2,not traveling,not sick,nothing,5.0
2019-07-03,49.00,32.05,7.08,rest,5.0,,,8.0,8.0,2.4,1.8,not traveling,not sick,nothing,5.0
2019-07-04,48.00,19.48,6.40,rest,5.0,,,6.9,8.3,5.0,3.1,not traveling,not sick,nothing,5.0
2019-07-08,,,,intense,,8.6,69,,0.0,,,not traveling,not sick,nothing, -
2019-07-09,54.00,6.72,5.30,average,5.0,3.0,,5.0,7.3,3.4,3.0,not traveling,not sick,nothing,5.0
2019-07-10,57.43,63.16,8.14,rest,5.0,,,5.0,7.6,5.0,5.0,not traveling,not sick,nothing,5.0
2019-07-11,55.45,8.10,5.45,rest,5.0,,,5.0,6.2,5.0,5.0,not traveling,not sick,nothing,5.0
2020-01-05,,,,average,,3.0,,,0.0,,,not traveling,not sick,nothing, -
2020-01-06,,,,intense,5.0,8.6,70,5.0,8.0,5.0,5.0,not traveling,not sick,nothing,5.0
2020-01-07,55.19,75.88,8.45,rest,,,,7.2,8.0,2.5,2.2,not traveling,not sick,nothing, -
2020-01-31,,,,average,,4.2,54,,0.0,,,traveling,not sick,nothing, -
2020-02-01,51.43,24.00,6.68,rest,5.0,,,8.9,8.0,5.0,5.0,not traveling,not sick,nothing,8.9
2020-02-02,48.22,44.00,7.57,rest,,,,9.1,8.9,1.0,0.6,not traveling,not sick,nothing,8.4
2020-02-03,48.40,33.00,7.13,easy,,3.0,39,7.3,7.5,9.2,8.4,not traveling,not sick,nothing,5.0
2020-02-04,51.44,27.00,6.85,easy,,3.0,39,8.9,8.2,6.6,6.8,not traveling,not sick,a little,9.3
2020-02-05,55.93,23.00,6.63,rest,,,,7.6,9.1,6.1,6.7,not traveling,not sick,nothing,8.3
2020-02-06,53.31,26.00,6.79,easy,,3.0,39,8.5,7.4,5.0,3.4,not traveling,not sick,nothing,9.9
2020-02-07,53.07,26.00,6.79,easy,,3.0,39,9.1,8.6,4.1,1.6,not traveling,not sick,nothing,9.5
2020-02-08,52.44,26.00,6.79,rest,,,,8.7,8.5,1.1,1.4,not traveling,not sick,a little,9.3
2020-02-09,49.35,37.00,7.30,easy,,3.0,44,9.3,8.7,1.2,1.0,not traveling,not sick,nothing,9.3
2020-02-10,52.91,23.00,6.63,average,,3.0,39,8.1,8.1,2.2,5.0,not traveling,not sick,a little,9.3
2020-02-11,49.33,31.00,7.04,average,,7.3,58,7.5,7.7,5.0,5.0,not traveling,not sick,nothing,9.3
2020-02-12,51.54,29.00,6.95,rest,,,,6.9,8.2,2.8,2.2,not traveling,not sick,nothing,9.4
2020-02-13,49.93,37.00,7.30,easy,,3.0,44,8.4,7.6,0.8,1.2,not traveling,not sick,nothing,9.5
2020-02-14,56.00,21.00,6.51,easy,,3.0,44,7.9,8.0,2.5,7.2,traveling,not sick,a little,8.4
2020-02-15,59.53,23.00,6.63,rest,,,,8.1,7.7,2.7,4.9,not traveling,not sick,a little,6.0
2020-02-16,56.16,33.00,7.13,rest,,,,7.6,6.6,1.9,2.5,not traveling,not sick,a little,9.0
2020-02-17,53.54,33.00,7.13,intense,,9.2,34,9.2,8.2,1.7,2.8,traveling,not sick,nothing,9.5
2020-02-18,53.49,26.00,6.79,easy,,3.0,39,8.1,7.8,4.4,6.4,not traveling,not sick,nothing,9.7
2020-02-19,49.06,32.00,7.09,rest,,,,8.6,8.6,5.0,5.0,not traveling,not sick,a little,9.2
2020-02-20,54.88,24.00,6.68,average,,5.3,62,8.3,8.3,2.5,6.6,not traveling,not sick,nothing,9.1
2020-02-21,53.94,24.00,6.69,rest,,,,8.4,7.3,5.0,7.6,not traveling,not sick,a little,9.6
2020-02-22,48.92,36.00,7.26,rest,,,,9.1,8.0,3.2,2.3,not traveling,not sick,nothing,9.2
2020-02-23,50.63,34.00,7.18,easy,,4.4,67,8.6,8.5,3.8,6.4,not traveling,not sick,nothing,9.6
2020-02-24,51.60,27.00,6.85,easy,,3.0,39,8.1,8.1,5.0,6.9,not traveling,not sick,a little,9.5
2020-02-25,50.85,33.00,7.13,average,,5.3,57,8.9,8.6,4.9,8.7,not traveling,not sick,nothing,8.9
2020-02-26,53.03,25.00,6.74,rest,,,,8.1,7.5,5.0,2.5,not traveling,not sick,a little,3.2
2020-02-27,49.45,37.00,7.30,average,,6.8,65,8.2,7.2,5.0,7.2,not traveling,not sick,a little,9.3
2020-02-28,52.43,28.00,6.90,easy,,3.1,43,8.0,7.0,2.6,6.6,not traveling,not sick,too much,9.8
2020-02-29,51.78,32.00,7.09,rest,,,,8.6,8.7,3.3,4.1,not traveling,not sick,nothing,9.8
2020-03-01,49.83,33.00,7.13,intense,,8.6,96,9.2,8.4,5.0,3.4,not traveling,not sick,nothing,2.7
2020-03-02,52.88,24.00,6.69,easy,,4.2,39,8.5,7.6,6.6,1.8,not traveling,not sick,nothing,9.2
2020-03-03,48.00,38.00,7.35,average,,6.8,64,8.8,7.9,5.0,3.6,not traveling,not sick,a little,9.2
2020-03-04,51.62,27.00,6.85,rest,,,,9.1,9.0,5.0,6.0,not traveling,not sick,nothing,9.1
2020-03-05,47.92,34.00,7.18,average,,5.5,65,8.3,7.5,5.0,5.7,not traveling,not sick,nothing,9.4
2020-03-06,54.56,22.00,6.57,average,,4.3,43,4.8,8.2,5.0,7.2,not traveling,not sick,a little,9.4
2020-03-07,48.86,30.00,7.00,rest,,,,9.2,7.9,5.0,2.3,not traveling,not sick,nothing,9.0
2020-03-08,47.26,35.00,7.22,average,,8.7,104,8.6,8.2,5.0,7.3,not traveling,not sick,nothing,9.0
2020-03-09,48.69,31.00,7.04,rest,,,,8.9,8.5,5.0,6.5,not traveling,not sick,nothing,9.4
2020-03-10,49.57,29.00,6.95,average,,4.5,64,7.0,6.5,5.0,8.5,not traveling,not sick,a little,2.8
2020-03-11,50.75,32.00,7.09,rest,,,,9.4,8.7,5.0,5.0,not traveling,not sick,nothing,8.9
2020-03-12,50.98,31.00,7.04,average,,6.3,66,8.3,7.1,5.0,5.0,not traveling,not sick,nothing,8.7
2020-03-13,50.41,23.00,6.63,rest,,,,8.8,8.0,5.0,5.0,not traveling,not sick,nothing,2.5
2020-03-14,,,,rest,,,,,0.0,,,not traveling,not sick,nothing, -
2020-03-15,53.79,31.00,7.04,average,,8.6,111,8.9,8.2,5.0,4.1,not traveling,not sick,nothing,7.6
2020-03-16,48.36,31.00,7.04,easy,,3.0,39,8.2,7.6,7.4,7.4,not traveling,not sick,nothing,8.6
2020-03-17,48.61,36.00,7.26,average,,6.9,68,8.7,7.7,5.0,6.5,not traveling,not sick,nothing,8.6
2020-03-18,48.19,35.00,7.22,rest,,,,9.1,8.4,7.7,2.5,not traveling,not sick,a little,2.3
2020-03-19,50.11,31.00,7.04,average,,7.6,73,7.9,8.0,6.1,7.3,not traveling,not sick,a little,5.0
2020-03-20,51.11,33.00,7.14,rest,,,,8.8,8.4,5.0,3.6,not traveling,not sick,nothing,8.9
2020-03-21,49.97,34.00,7.18,rest,,,,9.3,7.6,5.0,5.0,not traveling,not sick,nothing,5.0
2020-03-22,45.81,36.00,7.26,intense,,9.3,113,8.8,8.9,5.0,3.9,not traveling,not sick,a little,8.8
2020-03-23,53.88,25.00,6.74,easy,,3.0,39,8.8,8.3,7.3,6.7,not traveling,not sick,nothing,9.0
2020-03-24,49.15,35.00,7.22,easy,,3.0,39,8.5,7.7,2.4,2.3,not traveling,not sick,a little,9.0
2020-03-25,52.29,26.00,6.80,rest,,,,9.0,7.5,5.0,2.6,not traveling,sick,a little,3.8
2020-03-26,51.96,26.00,6.80,rest,,,,8.5,9.0,5.0,5.0,not traveling,not sick,nothing,6.8
2020-03-27,,,,easy,,3.0,43,,0.0,,,not traveling,not sick,too much, -
2020-03-28,50.67,36.00,7.26,rest,,,,9.3,8.7,3.3,3.2,not traveling,not sick,nothing,5.1
2020-03-29,49.83,35.00,7.22,easy,,3.4,69,9.3,8.7,5.0,5.0,not traveling,not sick,nothing,3.8
2020-03-30,51.80,26.00,6.80,easy,,3.0,39,8.8,7.9,5.0,5.0,not traveling,not sick,nothing,6.9
2020-03-31,48.86,32.00,7.09,average,,6.0,69,8.7,7.9,3.7,2.5,not traveling,not sick,too much,8.9
2020-04-01,52.28,28.00,6.90,rest,,,,9.3,9.0,5.0,5.0,not traveling,not sick,nothing,8.2
2020-04-02,52.46,28.00,6.90,intense,,8.9,90,8.4,7.8,5.0,5.0,not traveling,not sick,nothing,8.8
2020-04-03,52.46,25.00,6.74,easy,,3.0,43,8.9,8.4,5.0,5.0,not traveling,not sick,too much,9.0
2020-04-04,53.11,28.00,6.90,rest,,,,9.1,8.8,5.0,3.4,not traveling,not sick,a little,8.6
2020-04-05,53.34,27.00,6.85,intense,,7.2,102,9.1,8.7,5.0,5.0,not traveling,not sick,nothing,9.2
2020-04-06,53.08,26.00,6.80,easy,,3.0,39,7.8,7.7,5.0,5.9,not traveling,not sick,nothing,8.9
2020-04-07,52.23,28.00,6.90,intense,,7.3,85,8.6,7.7,5.0,6.5,not traveling,not sick,a little,9.0
2020-04-08,55.62,22.00,6.57,rest,,,,9.3,8.9,5.0,6.2,not traveling,not sick,a little,9.1
2020-04-09,53.11,26.00,6.80,rest,,,,9.1,8.3,5.0,5.0,not traveling,not sick,nothing,1.4
2020-04-10,53.30,26.00,6.80,rest,,,,8.8,7.9,5.0,5.0,not traveling,not sick,nothing,7.6
2020-04-11,,,,rest,,,,,0.0,,,not traveling,not sick,a little, -
2020-04-12,52.88,26.00,6.80,average,,7.6,106,8.7,8.8,5.0,5.0,not traveling,not sick,nothing,8.3
2020-04-13,51.49,37.00,7.31,easy,,3.0,39,8.7,7.6,2.5,2.4,not traveling,not sick,a little,8.9
2020-04-14,52.47,32.00,7.09,intense,,10.0,38,8.5,7.8,5.0,5.0,not traveling,not sick,nothing,8.5
2020-04-15,50.62,33.00,7.14,rest,,,,9.5,8.9,3.1,2.0,not traveling,not sick,nothing,9.2
2020-04-16,53.92,28.00,6.90,average,,6.6,67,8.2,7.7,5.0,7.1,not traveling,not sick,a little,3.0
2020-04-17,55.05,23.00,6.63,easy,,3.0,43,7.8,8.3,2.7,7.1,not traveling,not sick,a little,2.1
2020-04-18,51.71,29.00,6.95,rest,,,,9.3,8.8,5.0,5.0,not traveling,not sick,nothing,7.9
2020-04-19,51.59,28.00,6.90,intense,,8.2,109,9.0,8.3,3.6,3.3,not traveling,not sick,nothing,6.6
2020-04-20,52.19,27.00,6.85,average,,6.5,69,8.1,7.8,5.0,6.5,not traveling,not sick,nothing,3.1
2020-04-21,52.45,34.00,7.18,intense,,9.5,31,8.3,7.2,5.0,5.7,not traveling,not sick,a little,2.7
2020-04-22,52.00,29.00,6.95,rest,,,,8.4,8.5,5.0,5.0,not traveling,not sick,nothing,3.0
2020-04-23,52.51,26.00,6.80,rest,,,,8.8,8.0,5.0,6.7,not traveling,not sick,nothing,3.2
2020-04-24,51.06,26.00,6.80,easy,,3.0,42,8.6,7.7,,,not traveling,not sick,nothing, -
2020-04-25,53.58,26.00,6.80,rest,,,,9.0,7.4,5.0,5.0,not traveling,not sick,nothing,5.0
2020-04-26,55.30,23.00,6.63,intense,,7.5,102,9.1,8.8,5.0,5.0,not traveling,not sick,nothing,5.0
2020-04-27,50.53,27.00,6.85,easy,,3.0,39,8.8,7.9,5.0,5.0,not traveling,not sick,nothing,3.1
2020-04-28,47.70,34.00,7.18,intense,,7.0,75,8.0,7.5,2.7,3.5,not traveling,not sick,a little,5.0
2020-04-29,51.40,26.00,6.80,rest,,,,9.0,8.9,5.0,6.1,not traveling,not sick,nothing,7.5
2020-04-30,50.96,28.00,6.90,intense,,8.2,75,8.1,8.0,5.0,5.0,not traveling,not sick,nothing,2.2
2020-05-01,52.43,25.00,6.74,easy,,3.0,44,8.8,8.0,5.0,5.0,not traveling,not sick,a little,6.9
2020-05-02,55.54,24.00,6.69,rest,,,,9.2,8.5,5.0,5.0,not traveling,not sick,nothing,5.0
2020-05-03,50.05,30.00,7.00,intense,,8.4,114,8.9,8.2,2.6,2.2,not traveling,not sick,a little,3.1
2020-05-04,51.53,25.00,6.74,easy,,3.0,33,8.3,7.9,5.0,5.0,not traveling,not sick,nothing,5.0
2020-05-05,50.72,26.00,6.80,average,,7.2,77,8.5,7.4,5.0,5.0,not traveling,not sick,nothing,5.0
2020-05-06,50.27,26.00,6.80,rest,,,,9.0,9.5,6.1,2.8,not traveling,not sick,nothing,7.4
2020-05-07,54.78,24.00,6.69,intense,,8.5,80,8.4,7.6,7.5,7.0,not traveling,not sick,a little,5.0
2020-05-08,52.83,24.00,6.69,easy,,3.0,43,9.1,8.9,5.0,5.0,not traveling,not sick,too much,2.6
2020-05-09,53.89,30.00,7.00,rest,,,,8.9,7.3,5.0,5.0,not traveling,not sick,nothing,5.0
2020-05-10,50.81,28.00,6.90,intense,,9.2,118,8.8,8.7,3.3,2.7,not traveling,not sick,nothing,7.3
2020-05-11,49.45,27.00,6.85,easy,,3.0,40,9.4,8.5,5.0,5.0,not traveling,not sick,nothing,2.4
2020-05-12,47.96,33.00,7.14,intense,,9.3,80,7.8,7.6,5.0,6.5,not traveling,not sick,a little,6.5
2020-05-13,51.40,26.00,6.80,rest,,,,8.8,9.0,6.1,6.5,not traveling,not sick,a little,3.6
2020-05-14,51.61,33.00,7.14,intense,,8.6,84,8.3,7.4,2.2,6.9,not traveling,not sick,nothing,6.8
2020-05-15,49.19,29.00,6.95,easy,,3.0,44,8.6,8.3,3.4,3.2,not traveling,not sick,too much,3.5
2020-05-16,51.95,30.00,7.00,rest,,,,8.8,9.0,3.7,5.0,not traveling,not sick,nothing,5.0
2020-05-17,49.81,29.00,6.95,intense,,9.7,122,9.4,9.0,6.9,2.7,not traveling,not sick,a little,7.9
2020-05-18,50.98,28.00,6.90,easy,,3.0,40,9.1,8.9,6.4,5.0,not traveling,not sick,a little,6.3
2020-05-19,50.51,36.00,7.27,easy,,3.0,40,8.0,7.7,5.0,5.0,not traveling,not sick,a little,2.6
2020-05-20,50.31,27.00,6.85,rest,,,,8.9,9.1,3.4,3.3,not traveling,not sick,nothing,3.7
2020-05-21,,,,easy,,3.0,46,,0.0,,,not traveling,not sick,a little, -
2020-05-22,48.66,33.00,7.14,easy,,3.0,43,8.7,8.2,5.0,5.0,not traveling,not sick,a little,5.0
2020-05-23,51.05,35.00,7.23,rest,,,,9.0,8.7,3.0,2.2,not traveling,not sick,a little,7.0
2020-05-24,54.57,26.00,6.80,easy,,5.2,73,8.4,8.6,5.0,5.0,not traveling,not sick,nothing,5.0
2020-05-25,49.39,31.00,7.05,intense,,9.3,34,9.3,6.8,5.0,2.9,not traveling,not sick,a little,7.1
2020-05-26,47.92,30.00,7.00,easy,,3.0,39,8.1,9.7,5.0,5.0,not traveling,not sick,a little,6.7
2020-05-27,49.94,33.00,7.14,rest,,,,9.2,8.9,5.0,5.0,not traveling,not sick,nothing,6.2
2020-05-28,50.25,36.00,7.27,intense,,7.9,91,7.9,6.5,5.0,6.6,not traveling,not sick,nothing,3.4
2020-05-29,52.77,26.00,6.80,rest,,,,9.2,8.6,5.0,3.1,not traveling,not sick,nothing,6.9
2020-05-30,52.10,33.00,7.14,rest,,,,9.0,10.5,,,traveling,not sick,nothing, -
2020-05-31,48.75,32.00,7.09,intense,,7.3,103,8.9,8.7,2.8,2.6,not traveling,not sick,nothing,7.1
2020-06-01,48.61,29.00,6.95,easy,,4.2,39,9.0,8.6,5.0,5.0,not traveling,not sick,nothing,6.2
2020-06-02,47.41,33.00,7.14,average,,6.4,80,8.6,8.6,3.3,3.2,not traveling,not sick,a little,5.0
2020-06-03,47.17,33.00,7.14,rest,,,,9.0,8.4,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-04,49.43,34.00,7.18,intense,,7.2,88,9.0,7.8,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-05,49.30,33.00,7.14,easy,,3.0,44,8.7,7.4,5.0,6.3,not traveling,not sick,a little,8.2
2020-06-06,50.06,38.00,7.35,rest,,,,8.7,8.5,5.0,5.0,not traveling,not sick,nothing,2.5
2020-06-07,52.24,33.00,7.14,average,,6.0,108,8.8,7.6,,,not traveling,not sick,nothing, -
2020-06-08,46.30,36.00,7.27,easy,,3.0,39,8.9,8.1,5.0,3.5,traveling,not sick,nothing,5.0
2020-06-09,46.30,38.00,7.35,intense,,7.1,94,8.8,8.9,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-10,50.33,30.00,7.00,rest,,,,8.2,8.7,5.0,5.0,not traveling,not sick,a little,5.0
2020-06-11,48.84,36.00,7.27,intense,,9.9,76,8.3,7.9,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-12,48.34,34.00,7.18,easy,,3.0,44,9.2,9.0,5.0,5.0,traveling,not sick,a little,2.8
2020-06-13,48.92,37.00,7.31,rest,,,,8.6,9.3,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-14,44.83,38.00,7.35,intense,,8.0,105,8.3,7.3,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-15,48.78,33.00,7.14,rest,,,,9.1,8.5,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-16,46.69,40.00,7.43,easy,,3.0,39,7.9,6.2,,,traveling,not sick,nothing, -
2020-06-17,51.42,29.00,6.95,rest,,,,9.2,8.2,5.0,5.0,not traveling,not sick,a little,5.0
2020-06-18,48.36,37.00,7.31,easy,,3.0,40,8.5,8.3,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-19,48.70,30.00,7.00,easy,,3.0,43,9.0,8.5,5.0,5.0,not traveling,not sick,nothing,5.0
2020-06-20,52.13,25.00,6.75,rest,,,,9.6,9.4,5.0,5.0,traveling,not sick,nothing,5.0
2020-06-21,51.07,33.00,7.14,average,,4.7,60,8.8,7.2,2.8,3.1,not traveling,not sick,nothing,5.0
2020-06-22,49.46,35.00,7.23,average,,3.0,,9.4,8.1,5.0,5.0,not traveling,not sick,nothing,5.0
